سلة,صفقات,صافي$,نصيب الصفقة$,عامل الربح,فوز%,متوسط الرابحة$,متوسط الخاسرة$,عضلة النسبة,توقع الصفقة$,عمولات$,أقصى هبوط$,مدة الهبوط(يوم),أسوأ يوم$,أطول سلسلة خسائر,زمن الاحتفاظ(ساعة)
عابرو 1h (كل الفرضيات),5950,362.61,0.0609,1.8352,84.57,0.1583,-0.4729,0.335,0.0609,309.4,11.32,13.5,-5.92,9,2.25
عابرو 4h (كل الفرضيات),1824,277.15,0.1519,2.6696,89.25,0.2722,-0.8469,0.321,0.1519,94.85,22.5,31.7,-6.96,8,6.58
