symbol,NOVA_LENGTH,NOVA_BB_MULT,NOVA_KC_MULT,NOVA_MOM_P,net,trades,win_pct,pf
SOLUSDT,12,2.0,1.0,8,0.2081145228125415,3,66.67,1.8163619984559385
SOLUSDT,12,2.0,1.0,12,0.46304373706573787,2,100.0,inf
SOLUSDT,12,2.0,1.5,8,0.0,0,0.0,0.0
SOLUSDT,12,2.0,1.5,12,1.3546385369985687,1,100.0,inf
SOLUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
SOLUSDT,12,2.5,1.0,12,0.0,0,0.0,0.0
SOLUSDT,12,2.5,1.5,8,1.2892587562715985,4,75.0,6.057320558761473
SOLUSDT,12,2.5,1.5,12,0.8931399289821497,3,100.0,inf
SOLUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
SOLUSDT,20,2.0,1.0,12,0.0,0,0.0,0.0
SOLUSDT,20,2.0,1.5,8,0.0,0,0.0,0.0
SOLUSDT,20,2.0,1.5,12,0.0,0,0.0,0.0
SOLUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
SOLUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
SOLUSDT,20,2.5,1.5,8,0.0,0,0.0,0.0
SOLUSDT,20,2.5,1.5,12,0.0,0,0.0,0.0
