#,المرحلة,القياس,الفترة,بذرة,ن
1,1,المحفظة بالإشارات السبع,الاختيار,,
2,1,المحفظة بالإشارات السبع,الحكم,,
3,1,الشراء الأعمى,الاختيار,,
4,1,الشراء الأعمى,الحكم,,
5,1,عشوائي مضبوط بذرة 110048,الاختيار,110048.0,
6,1,عشوائي مضبوط بذرة 110048,الحكم,110048.0,
7,1,عشوائي مضبوط بذرة 210048,الاختيار,210048.0,
8,1,عشوائي مضبوط بذرة 210048,الحكم,210048.0,
9,1,عشوائي مضبوط بذرة 310048,الاختيار,310048.0,
10,1,عشوائي مضبوط بذرة 310048,الحكم,310048.0,
11,1,عشوائي مضبوط بذرة 410048,الاختيار,410048.0,
12,1,عشوائي مضبوط بذرة 410048,الحكم,410048.0,
13,1,عشوائي مضبوط بذرة 510048,الاختيار,510048.0,
14,1,عشوائي مضبوط بذرة 510048,الحكم,510048.0,
15,1,دوري كل 20 شمعة,الاختيار,,20.0
16,1,دوري كل 5 شمعة,الحكم,,5.0
17,2,عمود: كاسرة النطاق,الاختيار,,
18,2,عمود: كاسرة النطاق,الحكم,,
19,2,عمود: انحراف الدخول,الاختيار,,
20,2,عمود: انحراف الدخول,الحكم,,
21,2,عمود: التنقيط التعويضي,الاختيار,,
22,2,عمود: التنقيط التعويضي,الحكم,,
23,2,عمود: دونشيان,الاختيار,,
24,2,عمود: دونشيان,الحكم,,
25,2,عمود: ماكد,الاختيار,,
26,2,عمود: ماكد,الحكم,,
27,2,عمود: بولنجر,الاختيار,,
28,2,عمود: بولنجر,الحكم,,
29,2,عمود: سناب المؤشر,الاختيار,,
30,2,عمود: سناب المؤشر,الحكم,,
