symbol,NOVA_EXIT,NOVA_TRIGGER,net,trades,win_pct,pf
PEPEUSDT,std,MSS,-262.3288444487177,2,0.0,0.0
PEPEUSDT,std,FVG,3203.272969545086,110,41.82,1.5009159357482633
PEPEUSDT,std,SFP,1070.8467269960315,19,42.11,2.07056930694396
PEPEUSDT,std,MicroBurst,3302.511036514918,108,42.59,1.5756618797386372
PEPEUSDT,std,RSI,760.2657556238282,30,36.67,1.4199887873346173
PEPEUSDT,std,MACD,2526.3955392799166,78,43.59,1.6605938445369663
PEPEUSDT,std,Bollinger,1198.4688909512686,97,34.02,1.2137912694936077
PEPEUSDT,std,EMA,-567.7933096466961,55,29.09,0.8339967953455495
PEPEUSDT,std,ADX,87.35810354705882,37,35.14,1.037487602183709
PEPEUSDT,std,Stochastic,449.4455940201889,74,35.14,1.0998702812323433
PEPEUSDT,std,OBV,-822.0907484811447,123,30.89,0.891929638664848
PEPEUSDT,std,SuperTrend,0.0,0,0.0,0.0
PEPEUSDT,std,RSI7,170.20432514830262,32,34.38,1.0831607933865883
PEPEUSDT,std,KAMA,-987.1142726905739,53,28.3,0.7010550481270237
PEPEUSDT,std,ELITE8,2212.1749802683753,287,36.93,1.1330997160816534
PEPEUSDT,std,ALL14,3753.8101200327546,437,36.38,1.1466529152141194
PEPEUSDT,dual,MSS,59.974808884103886,2,100.0,inf
PEPEUSDT,dual,FVG,3976.8407058700436,167,95.21,6.707166590502798
PEPEUSDT,dual,SFP,442.0815630055422,22,95.45,7.4582157148367125
PEPEUSDT,dual,MicroBurst,4291.064573943274,160,95.0,7.460165975597717
PEPEUSDT,dual,RSI,515.2213346943646,40,92.5,3.4236640908720237
PEPEUSDT,dual,MACD,2591.0975704604807,109,97.25,13.676016916918032
PEPEUSDT,dual,Bollinger,2140.517088344051,144,94.44,4.681071710773908
PEPEUSDT,dual,EMA,1640.8542690696943,76,100.0,inf
PEPEUSDT,dual,ADX,963.9477430721903,46,91.3,4.141222879144471
PEPEUSDT,dual,Stochastic,1399.240012909391,103,94.17,3.867713721441118
PEPEUSDT,dual,OBV,3399.5900230096204,177,94.92,6.124597319660045
PEPEUSDT,dual,SuperTrend,0.0,0,0.0,0.0
PEPEUSDT,dual,RSI7,460.17698499868123,37,91.89,3.164728746430261
PEPEUSDT,dual,KAMA,1312.5299945435052,70,95.71,5.779941943047679
PEPEUSDT,dual,ELITE8,7889.768001486606,411,94.65,5.5288341165372445
PEPEUSDT,dual,ALL14,10377.817862130762,573,94.24,4.880096706051802
