# L0017 — دفعة الجرد الأولى — أفضل (اختبار) لكل رمز — شبكة 1h
# مدة التشغيل حتى هذا الفريم: 27.3 ث
## F_192_ext_entry — عابرون: 6/8
  RENDERUSDT: test_net=30.95$ trades=375 win=83.7% PF=1.94 gate=نعم | ok
  FILUSDT: test_net=27.76$ trades=296 win=84.8% PF=2.29 gate=نعم | ok
  LINKUSDT: test_net=23.78$ trades=305 win=87.5% PF=2.40 gate=نعم | ok
  XLMUSDT: test_net=22.00$ trades=311 win=82.6% PF=1.92 gate=نعم | ok
  SOLUSDT: test_net=18.61$ trades=340 win=82.7% PF=1.73 gate=نعم | ok
  ETHUSDT: test_net=14.93$ trades=278 win=80.6% PF=1.77 gate=نعم | ok
  GRAMUSDT: test_net=6.77$ trades=304 win=75.0% PF=1.22 gate=لا | ok
  BTCUSDT: test_net=-3.29$ trades=298 win=66.8% PF=0.86 gate=لا | ok
## F_001_rsi2_snap — عابرون: 3/8
  RENDERUSDT: test_net=34.17$ trades=524 win=89.1% PF=2.03 gate=نعم | ok
  XLMUSDT: test_net=30.18$ trades=530 win=86.6% PF=1.90 gate=نعم | ok
  LINKUSDT: test_net=20.61$ trades=620 win=85.7% PF=1.49 gate=نعم | ok
  FILUSDT: test_net=7.14$ trades=519 win=82.5% PF=1.16 gate=لا | ok
  SOLUSDT: test_net=6.50$ trades=615 win=81.6% PF=1.13 gate=لا | ok
  GRAMUSDT: test_net=0.33$ trades=146 win=80.1% PF=1.03 gate=لا | ok
  ETHUSDT: test_net=-6.36$ trades=606 win=77.2% PF=0.87 gate=لا | ok
  BTCUSDT: test_net=-9.18$ trades=635 win=69.1% PF=0.79 gate=لا | ok
## F_008_turtle_soup — عابرون: 5/8
  RENDERUSDT: test_net=6.44$ trades=212 win=87.3% PF=1.35 gate=نعم | ok
  SOLUSDT: test_net=6.02$ trades=214 win=82.7% PF=1.35 gate=نعم | ok
  LINKUSDT: test_net=4.33$ trades=141 win=86.5% PF=1.39 gate=نعم | ok
  GRAMUSDT: test_net=4.16$ trades=133 win=85.7% PF=1.54 gate=نعم | ok
  ETHUSDT: test_net=1.69$ trades=50 win=82.0% PF=1.48 gate=نعم | ok
  BTCUSDT: test_net=1.00$ trades=49 win=77.5% PF=1.29 gate=لا | ok
  XLMUSDT: test_net=0.99$ trades=224 win=80.8% PF=1.05 gate=لا | ok
  FILUSDT: test_net=-0.10$ trades=204 win=78.9% PF=1.00 gate=لا | ok
## F_015_zscore_regime — عابرون: 3/8
  ETHUSDT: test_net=2.34$ trades=47 win=91.5% PF=2.35 gate=نعم | ok
  XLMUSDT: test_net=1.71$ trades=41 win=85.4% PF=1.58 gate=نعم | ok
  SOLUSDT: test_net=1.56$ trades=60 win=88.3% PF=1.40 gate=نعم | ok
  FILUSDT: test_net=0.33$ trades=54 win=85.2% PF=1.07 gate=لا | ok
  RENDERUSDT: test_net=0.00$ trades=0 win=0.0% PF=0.00 gate=لا | بلا تركيبة غير متحللة (تدريب <30 صفقة)
  GRAMUSDT: test_net=0.00$ trades=0 win=0.0% PF=0.00 gate=لا | بلا تركيبة غير متحللة (تدريب <30 صفقة)
  LINKUSDT: test_net=-1.34$ trades=52 win=78.8% PF=0.77 gate=لا | ok
  BTCUSDT: test_net=-1.84$ trades=57 win=64.9% PF=0.62 gate=لا | ok
## F_165_score_entry — عابرون: 7/8
  FILUSDT: test_net=24.45$ trades=201 win=84.1% PF=2.61 gate=نعم | ok
  RENDERUSDT: test_net=21.31$ trades=215 win=82.8% PF=2.06 gate=نعم | ok
  LINKUSDT: test_net=18.19$ trades=199 win=87.9% PF=2.69 gate=نعم | ok
  SOLUSDT: test_net=15.37$ trades=268 win=82.8% PF=1.79 gate=نعم | ok
  XLMUSDT: test_net=14.71$ trades=246 win=80.1% PF=1.61 gate=نعم | ok
  ETHUSDT: test_net=11.30$ trades=189 win=81.0% PF=1.91 gate=نعم | ok
  GRAMUSDT: test_net=6.00$ trades=155 win=75.5% PF=1.36 gate=نعم | ok
  BTCUSDT: test_net=1.82$ trades=200 win=71.0% PF=1.15 gate=لا | ok
# إجمالي العابرين على 1h: 24
